,type,annulus_width,devices_set_1,devices_set_2,dr_set_1,dr_set_2,mod_set_1,mod_set_2,cr_set_1,cr_set_2,tx_pkts_mean_set_1,tx_pkts_std_set_1,tx_pkts_mean_set_2,tx_pkts_std_set_2,rx_pkts_mean_set_1,rx_pkts_std_set_1,rx_pkts_mean_set_2,rx_pkts_std_set_2,payload_size
120,DISTANCE,0,50,1,3,0,CSS,CSS,0.8,0.8,12639.366666666667,80.0797449768389,37.46666666666667,6.248911016240261,5416.133333333333,63.939415769061334,22.4,4.054626986542659,10
121,DISTANCE,0,50,10,3,0,CSS,CSS,0.8,0.8,12623.433333333332,98.13517321644785,372.03333333333336,17.97680604433267,4951.233333333334,61.43217578942017,193.43333333333334,14.391394033318043,10
122,DISTANCE,0,50,50,3,0,CSS,CSS,0.8,0.8,12587.466666666667,102.52015519995189,1847.0333333333333,42.165928847299874,3284.233333333333,65.25472311556373,474.46666666666664,23.902208173211857,10
123,DISTANCE,0,50,100,3,0,CSS,CSS,0.8,0.8,12615.733333333334,117.13807617034219,3675.4,73.41371352365533,2003.9,58.0363966260254,403.4,19.712263526377008,10
124,DISTANCE,0,50,300,3,0,CSS,CSS,0.8,0.8,12625.233333333334,97.79491579604515,11027.466666666667,110.19217556412775,268.9,17.7,38.4,7.521524668133006,10
125,DISTANCE,0,50,1,3,1,CSS,CSS,0.8,0.8,12624.266666666666,96.47380761406464,65.36666666666666,7.578404991963825,5426.6,64.8282860074726,39.9,6.410148204214939,10
126,DISTANCE,0,50,10,3,1,CSS,CSS,0.8,0.8,12640.8,108.10624403798332,634.9333333333333,21.539008540062582,4924.533333333334,61.43925636124043,325.73333333333335,19.80897664079484,10
127,DISTANCE,0,50,50,3,1,CSS,CSS,0.8,0.8,12631.9,113.53805529424923,3115.5,62.787870378494816,3330.7,63.02071088142373,815.8666666666667,22.832335744631024,10
128,DISTANCE,0,50,100,3,1,CSS,CSS,0.8,0.8,12628.4,100.73483343246598,6293.666666666667,73.97131576195976,1994.6666666666667,48.97300843888964,699.9666666666667,23.935306325361474,10
129,DISTANCE,0,50,300,3,1,CSS,CSS,0.8,0.8,12640.666666666666,87.3873878517693,18928.7,117.16687529616323,266.76666666666665,13.70567603424054,65.76666666666667,7.5880754403793915,10
130,DISTANCE,0,50,1,3,2,CSS,CSS,0.8,0.8,12599.433333333332,111.99663189380097,128.16666666666666,7.672823614695063,5416.0,69.43966205754941,78.13333333333334,8.143436348099957,10
131,DISTANCE,0,50,10,3,2,CSS,CSS,0.8,0.8,12619.6,115.84719821097676,1250.2,30.45039682281114,4953.866666666667,57.42515902362734,651.3333333333334,21.07974277726262,10
132,DISTANCE,0,50,50,3,2,CSS,CSS,0.8,0.8,12621.0,103.16103915723222,6299.233333333334,75.24435010166691,3330.9333333333334,51.57772990566978,1663.1666666666667,33.355742467460615,10
133,DISTANCE,0,50,100,3,2,CSS,CSS,0.8,0.8,12622.3,107.89876428084492,12599.066666666668,92.24132599991297,2018.9666666666667,40.68372593010079,1445.7666666666667,31.331223333211163,10
