,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
193,193,193,2,FHSS,11,2,-112.80359884719611,643414.5284635285,728154.9130386816,0
194,194,194,2,FHSS,11,2,-108.5005795915052,657089.1338063066,672144.8726351111,0
195,195,195,2,FHSS,14,2,-115.41199138627552,648876.4655051453,619046.8424595278,0
196,196,196,2,FHSS,13,0,-91.90502755999223,693051.3205551935,685391.5574561313,0
197,197,197,2,FHSS,8,3,-94.57147139605,694760.8060957579,694482.2996550867,0
198,198,198,2,FHSS,19,0,-117.35861422065364,739522.5739325634,777797.7158181564,0
199,199,199,2,FHSS,11,4,-114.96018446081146,718319.7823922811,760873.6928509553,0
200,200,200,2,FHSS,9,1,-117.04632130926916,629654.6590523024,611717.448879601,0
201,201,201,2,FHSS,12,1,-117.08733454350812,597060.1080570506,655211.9239702099,0
202,202,202,2,FHSS,23,8,-112.49584264625008,747348.8808287113,685869.5621188887,0
203,203,203,2,FHSS,10,2,-114.0144709167063,751963.8335009703,718854.5067409052,0
204,204,204,2,FHSS,19,4,-110.63544284464814,656739.8577034841,655826.0056357885,0
205,205,205,2,FHSS,22,3,-106.65789124708698,706482.645206948,665181.3708735975,0
206,206,206,2,FHSS,16,4,-114.81944923150776,616573.2506189933,668249.4950938084,0
207,207,207,2,FHSS,16,2,-98.71971460463789,698403.0663332029,697181.095599366,0
208,208,208,2,FHSS,18,1,-111.39092693264816,651830.7004751514,654767.058205487,0
209,209,209,2,FHSS,16,2,-110.38580846517682,672222.8389469838,731568.9261592623,0
210,210,210,2,FHSS,9,1,-112.78268781154956,728902.4911853923,734575.3182920784,0
211,211,211,2,FHSS,17,6,-110.57910792644668,642859.8051088853,689191.2684795698,0
212,212,212,2,FHSS,16,4,-112.21304442455089,736579.6546003865,658881.5336884103,0
213,213,213,2,FHSS,17,2,-113.46284206032374,657739.522344789,746037.4562513034,0
214,214,214,2,FHSS,13,1,-114.05126393431708,637185.7321784658,643662.0731973776,0
215,215,215,2,FHSS,8,0,-115.40135779061296,754652.5095065092,737593.8049301221,0
216,216,216,2,FHSS,24,4,-110.55384967608842,702946.7877800391,645011.9281439232,0
217,217,217,2,FHSS,11,1,-114.24237190804354,636456.8770617511,736667.3221543184,0
218,218,218,2,FHSS,12,4,-110.06694775581914,686365.9485228374,733191.399894714,0
219,219,219,2,FHSS,19,4,-111.0367408234164,647359.5893617284,714700.478306485,0
220,220,220,2,FHSS,7,1,-90.33866890612762,686101.2528729097,686320.846701585,0
221,221,221,2,FHSS,14,4,-109.47620498497704,727783.0846599631,703855.1937663002,0
222,222,222,2,FHSS,14,1,-105.36073408203951,704527.8011494435,709981.893768465,0
223,223,223,2,FHSS,16,2,-115.77656056704626,683384.1397921157,773881.6221241481,0
224,224,224,2,FHSS,20,3,-104.84170819872652,691424.4206488098,713373.8270270887,0
225,225,225,2,FHSS,16,1,-114.83418595209272,763728.2724205364,705211.1614028143,0
226,226,226,2,FHSS,20,5,-91.6150198460764,692789.3250117314,693422.8752450001,0
227,227,227,2,FHSS,14,2,-117.37543336935872,652827.9454101688,784411.6258144286,0
228,228,228,2,FHSS,12,0,-115.330316301012,768890.355790231,701834.4307684918,0
229,229,229,2,FHSS,20,2,-106.04030974816584,668778.8644230466,707751.6411895077,0
230,230,230,2,FHSS,21,3,-116.07187707771176,610608.8132602746,727705.2592118571,0
231,231,231,2,FHSS,12,3,-115.08604528369536,615858.1466189707,662814.9026412035,0
232,232,232,2,FHSS,6,1,-109.3746999921028,680765.1542358514,729002.2410894866,0
233,233,233,2,FHSS,11,4,-114.9667360288406,653294.791450418,757581.5596317762,0
234,234,234,2,FHSS,15,1,-100.48311832312751,693836.8946540294,703281.1287536086,0
235,235,235,2,FHSS,18,4,-85.45957053166494,689396.573415702,686829.0250627786,0
236,236,236,2,FHSS,7,1,-109.57990520403176,647921.3138476477,689940.6545363333,0
237,237,237,2,FHSS,18,4,-117.07879089533114,770028.0854820848,745803.2817316704,0
238,238,238,2,FHSS,9,2,-99.87622779897733,675984.7914575969,691426.3254487311,0
239,239,239,2,FHSS,12,4,-114.0243988278039,741097.5556306544,643376.0563464239,0
240,240,240,2,FHSS,10,1,-105.93032884032174,715347.7836481389,681027.0177788724,0
241,241,241,2,FHSS,15,3,-114.57508452879355,629353.2693630806,732206.3517792044,0
242,242,242,2,FHSS,16,7,-113.22891688435888,640895.6996526906,729848.077872011,0
243,243,243,2,FHSS,24,3,-101.26459257712295,699758.3663685867,677299.4333388918,0
244,244,244,2,FHSS,21,4,-104.509551085316,682934.9030957612,667190.4513449563,0
245,245,245,2,FHSS,13,3,-110.4055115505456,702439.0534006684,733142.2056223772,0
